"Timestamp","Do you think the crime rates are increasing in India?","Do you believe Social Media like Twitter, Facebook, WhatsApp etc.. plays a major role in mental instability of people?","The words like ""Depression"" or ""Suicide"" or ""Mental fatigue"" have become the order of the day.","Does Social Media encourage rift among poeple(sometimes) as the memes can be made by anyone and there is no check on the content?","Is social media being wrongly used by people for exploiting other's life? Does it result (or may result) in suicide of victims?","Is the hype in road accidents due to texting while driving?","What are the factors that cause Road-Accidents?","Is putting mobile in silent mode or vibration mode a good option while driving? How much do you think it will decrease the rate of accident due to social media, if we mark the current rate out of 5?","Do you drive car and use mobile at the same time?","Can murder be a cause for social media misuse or mis-interpretetion?","Most of the days we wake up to find murder in different forms in media through newspaper, websites or magazines. Does this means the social anxiety is increasing day by day?","Can you suggest ways to tackle depression and suicidial thoughts?","Can murders be decreased if people become more disciplined and use social media in a much  efficient way?","Can social issues decrease if people start being co-operative in nature and rather than just reacting to the situations?","Give some suggestions, how we, the citizens of India can decrease the social issue to some extent if not fully."
"2018/10/03 7:21:01 PM GMT+5:30","Yes","Maybe","Neutral","Yes","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive","3","No","Maybe","Yes","Share your problems with family friends or seniors","Neutral","Yes","By creating awareness among people"
"2018/10/03 7:22:10 PM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","No","Drink and Drive","4","No","No","Maybe","Proper counseling and pessimistic thinging","Strongly disagree","Yes","With the feeling of togetherness and forgiveness everything is possible"
"2018/10/03 7:31:06 PM GMT+5:30","Yes","Maybe","Agree","Yes","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Drink and Drive","4","Maybe","No","No","","Agree","Yes","Impersonal problems, for example, shortage of money;
Personal problems, for example, emotional or health problems;
Interpersonal problems, such as disagreements with other people; and.
Community and wider societal problems, such as litter or crime rate."
"2018/10/03 7:38:19 PM GMT+5:30","Yes","Yes","Agree","Maybe","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive","2","No","Maybe","Maybe","By yoga and pranayama","Agree","Yes","We shouldn't be addicted to that"
"2018/10/03 7:39:06 PM GMT+5:30","Yes","Yes","Agree","Maybe","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Drink and Drive","2","No","No","Maybe","Being positive in life...talking with parents about our problems. ","Neutral","Maybe","We must not support he wrong things that happen in front of us..we must fight back."
"2018/10/03 7:56:49 PM GMT+5:30","Yes","Yes","Neutral","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","No","Drink and Drive;Overwork and sleepy during driving","3","No","Maybe","No","Therapy","Agree","Maybe","Monitored content"
"2018/10/03 8:08:36 PM GMT+5:30","No","Yes","Agree","Yes","No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","5","Maybe","Maybe","Yes","Talk to people. Socialize in the real world they can help you better than the ones siting behind the screen","Neutral","Yes","Preaching values with logic and Boosting morale. Nowadays due to the competitive world citizens tend to forget basic values and morales "
"2018/10/03 8:26:47 PM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","3","No","Maybe","Maybe","Discussing it with friends and family and think of positive aspects of life rather than overthinking about what had happened in past.","Neutral","Yes","Being cooperative in nature rather than just blindly reacting to situation which can adhere negative image on society and on self."
"2018/10/03 10:09:18 PM GMT+5:30","Yes","Maybe","Agree","No","No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","No","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","1","No","No","Maybe","Talk to near ones. Don't just think they won't understand. They would.
If they won't, seek external help. There's no shame in that. ","Strongly disagree","Maybe","Have a sense of ownership towards the motherland and everything in it. "
"2018/10/03 11:15:26 PM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","5","No","Yes","Yes","Consult pshycologist","Agree","Yes","Be vigilant "
